Company Name,Near term - Target Year search terms,Long term - Target Year search terms,Net-Zero Year search terms,variable,value,Near term - Target Year match,Long term - Target Year match,Net-Zero Year match
Q-lite,['2030'],['2050'],['2050'],1,"https://sciencebasedtargets.org/faqs-for-smes/ Q-lite commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Q-lite,['2030'],['2050'],['2050'],2, Q-lite commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2021 base year,,x,x
QBS Technology Group,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
QBS Technology Group,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ QBS Technology Group commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",0,Overall Net-Zero Target,,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",1,QinetiQ Group Plc commits to reach net-zero greenhouse gas emissions across the value  chain by FY2050 from a FY2020 base year,,x,x
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",2,Near-Term Targets,,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",3,QinetiQ Group Plc commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030  from a FY2020 base year,x,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",4,QinetiQ Group Plc also commits to reduce absolute scope 3 GHG  emissions 30% by FY2030 from a FY2020 base year,x,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",5,QinetiQ Group Plc further commits to  reduce absolute scope 3 GHG emissions from use of sold products 42% within the same  timeframe,,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",6,Long-Term Targets,,,
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",7,QinetiQ Group Plc commits to reduce absolute scope 1 and 2 GHG emissions 90% by FY2050  from a FY2020 base year,,x,x
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",8,QinetiQ Group Plc also commits to reduce absolute scope 3 GHG  emissions 90% by FY2050 from a FY2020 base year,,x,x
Qinetiq,"['FY2030', '2030']","['FY2050', '2050']","['FY2050', '2050']",9,QinetiQ Group Plc further commits to  reduce absolute scope 3 GHG emissions from use of sold products 90% within the same  timeframe,,,
"Qingdao Reliance Machinery Co., Ltd",,,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Qingdao Reliance Machinery Co., Ltd",,,,1,https://sciencebasedtargets.org/faqs-for-smes/ Qingdao Reliance Machinery Co,,,
"Qingdao Reliance Machinery Co., Ltd",,,,2,", Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",,,
Quadrangle Architects Limited,['2030'],,,0,Quadrangle Architects Limited commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Quadrangle Architects Limited,['2030'],,,1,2% by 2030 from a 2019 base year,x,,
Quadrangle Architects Limited,['2030'],,,2,Quadrangle Architects Limited commits to reduce absolute scope 3 GHG emissions from purchased goods and services and capital goods 46,,,
Quadrangle Architects Limited,['2030'],,,3,2% by 2030 from a 2019 base year,x,,
Quzhou Oriental Special Steel Co. Ltd.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Quzhou Oriental Special Steel Co. Ltd.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Quzhou Oriental Special Steel Co,,,
Quzhou Oriental Special Steel Co. Ltd.,['2030'],,,2,Ltd,,,
Quzhou Oriental Special Steel Co. Ltd.,['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
RECRUITERS.IE,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
RECRUITERS.IE,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Recruiters,,,
RECRUITERS.IE,['2030'],,,2,"ie commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
REMA 1000 NORGE AS,['2030'],['2050'],['2050'],0,Overall Net-Zero Target  REMA 1000 Norge AS commits to reach net-zero greenhouse gas emissions across the value chain by 2050 from a 2020 base year,,x,x
REMA 1000 NORGE AS,['2030'],['2050'],['2050'],1,Near-Term Targets REMA 1000 Norge AS commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2020 base year,x,,
REMA 1000 NORGE AS,['2030'],['2050'],['2050'],2,REMA 1000 Norge AS also commits to reduce absolute scope 3 GHG emissions 50% within the same timeframe,,,
REMA 1000 NORGE AS,['2030'],['2050'],['2050'],3,Long-Term Targets REMA 1000 Norge AS commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2050 from a 2020 base year,,x,x
REMA 1000 NORGE AS,['2030'],['2050'],['2050'],4,REMA 1000 Norge AS also commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe,,,
REMATEC Holdings Corporation,['2030'],,,0,"REMATEC Holdings Corporation commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"RIKO Industrial Co., Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"RIKO Industrial Co., Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/  RIKO Industrial Co,,,
"RIKO Industrial Co., Ltd.",['2030'],,,2,", Ltd",,,
"RIKO Industrial Co., Ltd.",['2030'],,,3,"  commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
RJ McLeod (Contractors) Ltd,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
RJ McLeod (Contractors) Ltd,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ RJ McLeod (Contractors) Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"ROHM Co., Ltd.","['FY2030', '2030']",,,0,ROHM commits to reduce absolute scope 1 and 2 GHG emissions 50,,,
"ROHM Co., Ltd.","['FY2030', '2030']",,,1,5% by FY2030 from a FY2018 base year,x,,
"ROHM Co., Ltd.","['FY2030', '2030']",,,2,ROHM commits to reduce absolute scope 3 GHG emissions from use of sold products 15% by FY2030 from a FY2018 base year,x,,
RPS Group plc,['2034'],,,0,RPS commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2034 from a 2019 base year,x,,
RPS Group plc,['2034'],,,1,"RPS also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy related activities, business travel and employee commuting 63% within the same timeframe",,,
RTS Transport Service GmbH,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
RTS Transport Service GmbH,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/,,,
RTS Transport Service GmbH,['2030'],,,2,"RTS Transport Service GmbH commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
RWE AG,['2030'],,,0,RWE AG commits to reduce scope 1 and 2 GHG emissions 50% per kWh by 2030 from a 2019 base year*,x,,
RWE AG,['2030'],,,1,RWE AG commits to reduce absolute scope 3 scopes GHG emissions 30% by 2030 from a 2019 base year,x,,
RWE AG,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks as well as emissions from electricity purchased and from non-controlled assets,,,
Raben Group N.V.,,,,0,Raben Group N.V.commits to reduce absolute scope 1 and 2 GHG emissions 38,,,
Raben Group N.V.,,,,1,7% by 2030 from a 2020 base year,,,
Raben Group N.V.,,,,2,Raben Group N.V. also commits that 77% of its suppliers by emissions covering upstream transportation & distribution will have science-based targets by 2027,,,
Radio Flyer Inc.,['2030'],,,0,Radio Flyer commits to reduce absolute scope 1 and 2 GHG emissions 33% by 2030 from a 2017 base year,x,,
Radio Flyer Inc.,['2030'],,,1,Radio Flyer commits to reduce scope 3 GHG emissions 28% per tonne of product sold by 2030 from a 2017 base year,x,,
Radisson Hotel Group,['2030'],,,0,Radisson Hotel Group commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Radisson Hotel Group,['2030'],,,1,2% by 2030 from a 2019 base year,x,,
Radisson Hotel Group,['2030'],,,2,Radisson Hotel Group also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities and franchises 27,,,
Radisson Hotel Group,['2030'],,,3,5% within the same timeframe,,,
Raiffeisen Bank International AG,['2030'],,,0,Headline target: Raiffeisen Bank International's portfolio targets cover 23% of its total investment and lending activities as of 2021,,,
Raiffeisen Bank International AG,['2030'],,,1,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_Raiffeisen-Bank-International-AG.docx,,,
Raiffeisen Bank International AG,['2030'],,,2,pdf,,,
Railpool,,['2050'],['2050'],0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Railpool,,['2050'],['2050'],1,"https://sciencebasedtargets.org/faqs-for-smes/ Railpool commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",,,
Railpool,,['2050'],['2050'],2, Railpool commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2021 base year,,x,x
Ralph Lauren Corporation,"['2030', '2025']",,,0,"Ralph Lauren commits to reduce absolute scope 1, 2, and 3 GHG emissions 30% by FY 2030 from a FY 2020 base year",x,,
Ralph Lauren Corporation,"['2030', '2025']",,,1,Ralph Lauren commits to increase annual sourcing of renewable electricity from 2% in FY 2020 to 100% by FY 2025,x,,
Ramatex,['2025'],,,0,Ramatex Industrial (Suzhou) Ltd commits to reduce absolute scope 1+2+3 GHG emissions 25% by 2025 from a 2019 base year,x,,
Ramboll Group A/S,"['2030', '2025']",,,0,Ramboll Group commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Ramboll Group A/S,"['2030', '2025']",,,1,2% by 2030 from a 2019 base year,x,,
Ramboll Group A/S,"['2030', '2025']",,,2,Ramboll Group also commits to reduce absolute scope 3 GHG emissions from business travel 27,,,
Ramboll Group A/S,"['2030', '2025']",,,3,5% within the same timeframe,,,
Ramboll Group A/S,"['2030', '2025']",,,4,Ramboll Group commits that 80% of its suppliers by emissions covering purchased goods and services will have science-based targets by 2025,x,,
Rathbones Group Plc,['2030'],,,0,Headline target: Rathbones Group Plc’s portfolio targets cover 91% of its total investment and lending activities as of December 2020,,,
Rathbones Group Plc,['2030'],,,1,Rathbone Group Plc commits to reduce absolute scope 3 (category 1-14) GHG emissions 42% by 2030 from a 2020 base year,x,,
Rathbones Group Plc,['2030'],,,2,https://sciencebasedtargets.org/resources/files/Target-language-and-summary_Rathbones-Group,,,
Rathbones Group Plc,['2030'],,,3,docx,,,
Rathbones Group Plc,['2030'],,,4,pdf,,,
Rawstone Consulting,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Rawstone Consulting,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Rawstone Consulting commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
"Re:CS Co.,Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Re:CS Co.,Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Re:CS Co,,,
"Re:CS Co.,Ltd.",['2030'],,,2,",Ltd",,,
"Re:CS Co.,Ltd.",['2030'],,,3,"commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
"RealTyme, S.A.",,,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"RealTyme, S.A.",,,,1,"https://sciencebasedtargets.org/faqs-for-smes/ RealTyme, S.A. commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",,,
Reckitt Benckiser Group plc,['2030'],,,0,Reckitt Benckiser commits to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2015 base year*,x,,
Reckitt Benckiser Group plc,['2030'],,,1,Reckitt Benckiser commits to reduce absolute scope 3 GHG emissions 50% by 2030 from a 2015 base year,x,,
Reckitt Benckiser Group plc,['2030'],,,2,Reckitt Benckiser commits to increase annual sourcing of renewable electricity from 5% in 2015 to 100% by 2030,x,,
Reckitt Benckiser Group plc,['2030'],,,3,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Red Glead Discovery AB,['2030'],['2045'],['2045'],0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Red Glead Discovery AB,['2030'],['2045'],['2045'],1,"https://sciencebasedtargets.org/faqs-for-smes/ Red Glead Discovery AB commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Red Glead Discovery AB,['2030'],['2045'],['2045'],2, Red Glead Discovery AB also commits to reduce scope 1+2+3 emissions 90% by 2045 from a 2021 base year,,x,x
Redstor,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Redstor,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Redstor commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Refinitiv,"['2030', '2025']",,,0,Refinitiv commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year,x,,
Refinitiv,"['2030', '2025']",,,1,"Refinitiv commits to reduce absolute scope 3 fuel-and-energy-related activities, business travel and employee commuting GHG emissions 25% by 2025 from a 2019 base year",x,,
Refinitiv,"['2030', '2025']",,,2,Refinitiv also commits that 65% of its suppliers by spend covering purchased goods and services and capital goods will have science-based targets by 2025,x,,
Reform,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Reform,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Reform commits to reduce 1,,,
Reform,['2030'],,,2,"5 aligned: scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
"Reformo Co., Ltd.",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
"Reformo Co., Ltd.",['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Reformo Co,,,
"Reformo Co., Ltd.",['2030'],,,2,", Ltd",,,
"Reformo Co., Ltd.",['2030'],,,3,"commits to reduce scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Refurb A/S,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Refurb A/S,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Refurb A/S commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Regency Centers Corporation,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Regency Centers Corporation,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Regency Centers Corporation commits to reduce  scope 1 and scope 2 GHG emissions 28% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Reitan Convenience Sweden AB,['2030'],,,0,REITAN CONVENIENCE SWEDEN AB (RCS) commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Reitan Convenience Sweden AB,['2030'],,,1,2% by 2030 from a 2019 base year,x,,
Reitan Convenience Sweden AB,['2030'],,,2,RCS also commits to reduce absolute scope 3 GHG emissions 46,,,
Reitan Convenience Sweden AB,['2030'],,,3,2% within the same timeframe,,,
Reliance Jio Infocomm Limited,"['FY2028', '2028']",,,0,Reliance Jio Infocomm Limited commits to reduce absolute scope 1 and scope 2 GHG emissions 76% by FY2028 from a FY2020 base year,x,,
Reliance Jio Infocomm Limited,"['FY2028', '2028']",,,1,Reliance Jio Infocomm Limited commits to increase annual sourcing of renewable electricity from 1,,,
Reliance Jio Infocomm Limited,"['FY2028', '2028']",,,2,19% in FY2020 to 100% by FY 2029 and to continue sourcing 100% renewable electricity through FY2030,,,
Reliance Jio Infocomm Limited,"['FY2028', '2028']",,,3,"Reliance Jio Infocomm Limited commits to reduce absolute scope 3 GHG emissions from purchased goods and services, capital goods, fuel and energy related activities, upstreamtransportation and distribution, waste generated in operations, business travel and upstream leased assets 66",,,
Reliance Jio Infocomm Limited,"['FY2028', '2028']",,,4,5% by FY2028 a FY2020 base year,x,,
RelineEurope GmbH,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
RelineEurope GmbH,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ RelineEurope GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Renesas Electronics Corporation,['2030'],,,0,Renesas Electronics commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2030 from a 2021 base year,x,,
Renesas Electronics Corporation,['2030'],,,1,Renesas Electronics also commits that 70% of its suppliers by emissions covering purchased goods and services will have targets by 2026,,,
Republic Services,['2030'],,,0,"Solid waste collection, transfer, disposal, recycling, and energy services provider Republic Services, commits to reduce absolute total Scope 1 and 2 GHG emissions 35% by 2030 from a 2017 baseline year**The target boundary includes biogenic emissions from biogenic feedstocks",x,,
Resolute Forest Products,['2026'],,,0,Resolute Forest Products commits to reduce absolute scopes 1 and 2 GHG emissions 41,,,
Resolute Forest Products,['2026'],,,1,5% by 2026 from a 2015 base year,x,,
Resolute Forest Products,['2026'],,,2,* Resolute Forest Products also commits to reduce absolute scope 3 GHG emissions 16,,,
Resolute Forest Products,['2026'],,,3,5% within the same timeframe,,,
Resolute Forest Products,['2026'],,,4,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Restaurant Brands International Inc.,['2030'],,,0,Restaurant Brands International commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2019 base year,x,,
Restaurant Brands International Inc.,['2030'],,,1,Restaurant Brands International commits to reduce scope 3 GHG emissions 50% per MT food by 2030 from a 2019 base year,x,,
Restaurant Brands International Inc.,['2030'],,,2,Restaurant Brands International also commits to reduce scope 3 GHG emissions 50% per franchise restaurant within the same timeframe,,,
Revenga Smart Solution,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Revenga Smart Solution,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ REVENGA Smart Solutions commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Rexel,['2030'],['2050'],['2050'],0,Overall Net-Zero Target,,,
Rexel,['2030'],['2050'],['2050'],1,Rexel commits to reach net-zero GHG emissions across the value chain by 2050 from a 2016 base year,,x,x
Rexel,['2030'],['2050'],['2050'],2,Near-Term Targets,,,
Rexel,['2030'],['2050'],['2050'],3,Rexel commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2016 base year,x,,
Rexel,['2030'],['2050'],['2050'],4,Rexel also commits to reduce absolute scope 3 GHG emissions from use of sold products 45% within the same timeframe,,,
Rexel,['2030'],['2050'],['2050'],5,Long-Term Targets,,,
Rexel,['2030'],['2050'],['2050'],6,Rexel commits to reduce scope 1 and 2 GHG emissions 90% by 2050 from 2016 base year,,x,x
Rexel,['2030'],['2050'],['2050'],7,Rexel further commits to reduce absolute scope 3 GHG emissions 90% within the same timeframe,,,
Reynaldi SRL SB,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Reynaldi SRL SB,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Reynaldi SRL SB commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Reynders Etiketten N.V.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Reynders Etiketten N.V.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Reynders Etiketten N.V. commits to reduce absolute scope 1 and scope 2 GHG emissions 30% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions",x,,
Ricardo PLC,"['FY2030', '2031', '2030']",,,0,Ricardo commits to reduce absolute scope 1 and 2 GHG emissions 46,,,
Ricardo PLC,"['FY2030', '2031', '2030']",,,1,2% by FY2030/31 from a FY2019/20 base year,x,,
Ricardo PLC,"['FY2030', '2031', '2030']",,,2,Ricardo commits to increase annual sourcing of renewable electricity from 74% in FY2019/20 to 90% by FY2025/26,,,
Ricardo PLC,"['FY2030', '2031', '2030']",,,3,Ricardo commits to reduce absolute scope 3 GHG emissions 27,,,
Ricardo PLC,"['FY2030', '2031', '2030']",,,4,5% by FY2030/31 from a FY2019/20 base year,x,,
"Ricoh Co., Ltd.",['2030'],,,0,"Ricoh Company, Ltd",,,
"Ricoh Co., Ltd.",['2030'],,,1,commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2030 from a 2015 base year*,x,,
"Ricoh Co., Ltd.",['2030'],,,2,"Ricoh Company, Ltd",,,
"Ricoh Co., Ltd.",['2030'],,,3,"commits to reduce absolute scope 3 GHG emissions from purchased goods and services, transportation, and product use emissions 40% within the same timeframe",,,
Rikshem AB,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Rikshem AB,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Rikshem AB commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Rise Co.Ltd.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Rise Co.Ltd.,['2030'],,,1,https://sciencebasedtargets.org/faqs-for-smes/ Rise Co,,,
Rise Co.Ltd.,['2030'],,,2,Ltd,,,
Rise Co.Ltd.,['2030'],,,3,"commits to reduce absolute scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions",x,,
Riskory Consultancy Limited,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Riskory Consultancy Limited,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Riskory Consultancy Limited commits to reduce scope 1 and scope 2 GHG emissions 38% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions",x,,
Riverside Natural Foods Ltd.,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Riverside Natural Foods Ltd.,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Riverside Natural Foods commits to reduce absolute scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Rizhao Cangyu,['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
Rizhao Cangyu,['2030'],,,1,"https://sciencebasedtargets.org/faqs-for-smes/ Rizhao Cangyu commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions",x,,
Robert Bosch GmbH,['2030'],,,0,Robert Bosch GmbH commits to reduce absolute scope 1 and 2 GHG emissions 85% and absolute scope 3 GHG emissions 15% by 2030 from a 2018 base year,x,,
Robert Bosch GmbH,['2030'],,,1,Robert Bosch GmbH also commits to increase annual sourcing of renewable electricity from 14% in 2018 to 100% by 2030,x,,
Robert Bosch GmbH,['2030'],,,2,*The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Rockwool Group,['2034'],,,0,ROCKWOOL Group commits to reduce absolute scope 1 and 2 GHG emissions by 38% by 2034 from a 2019 base year,x,,
Rockwool Group,['2034'],,,1,ROCKWOOL Group also commits to reduce absolute scope 3 emissions by 20% within the same timeframe,,,
Roland Berger,['2028'],,,0,Roland Berger GmbH commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2028 from a 2019 base year,x,,
Roland Berger,['2028'],,,1,Roland Berger GmbH commits to increase annual sourcing of renewable electricity from 24% in 2019 to 100% by 2028,x,,
Roland Berger,['2028'],,,2,Roland Berger GmbH commits to reduce scope 3 GHG emissions from business travel by 40% per full-time equivalent by 2028 from a 2019 base year,x,,
Ronald Lu & Partners,['2028'],,,0,Ronald Lu & Partners commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2028 from a 2019 base year,x,,
Ronald Lu & Partners,['2028'],,,1,Ronald Lu & Partners also commits to reduce absolute scope 3 GHG emissions 38% within the same timeframe,,,
Royal BAM Group,['2030'],,,0,Royal BAM Group commits to reduce scope 1 and 2 GHG emissions 50% per Euro revenue by 2030 from a 2015 base year,x,,
Royal BAM Group,['2030'],,,1,Royal BAM Group commits to reduce absolute scope 3 GHG emissions 20% by 2030 from a 2017 base year,x,,
Royal BAM Group,['2030'],,,2,Royal BAM Group also commits to increase annual sourcing of renewable electricity from 50% in 2015 to 100% by 2030,x,,
Royal DSM,['2030'],,,0,Royal DSM commits to reduce absolute scope 1 and 2 GHG emissions 59% by 2030 from a 2016 base year,x,,
Royal DSM,['2030'],,,1,"* DSM also commits to reduce scope 3 GHG emissions from purchased goods and services, upstream transportation and distribution and waste generated in operations 28% per ton of sold product by 2030 from a 2016 base year",x,,
Royal DSM,['2030'],,,2,*The target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
Royal FrieslandCampina N.V.,['2030'],,,0,Royal FrieslandCampina commits to reduce absolute scope 1 and 2 GHG emissions 63% by 2030 from a 2015 base year*,x,,
Royal FrieslandCampina N.V.,['2030'],,,1,Royal FrieslandCampina also commits to reduce absolute scope 3 GHG emissions 37,,,
Royal FrieslandCampina N.V.,['2030'],,,2,5% within the same timeframe*,,,
Royal FrieslandCampina N.V.,['2030'],,,3,*The target boundary includes land-related emissions and removals from bioenergy feedstocks,,,
Royal HaskoningDHV,['2030'],,,0,Royal HaskoningDHV commits to reduce absolute scope 1 and 2 GHG emissions 95% by 2030 from a 2019 base year*,x,,
Royal HaskoningDHV,['2030'],,,1,Royal HaskoningDHV also commits to increase annual sourcing of renewable electricity from 80% in 2019 to 100% by 2030,x,,
Royal HaskoningDHV,['2030'],,,2,Royal HaskoningDHV further commits to reduce absolute scope 3 GHG emissions 67% within the same timeframe,,,
Royal HaskoningDHV,['2030'],,,3,* The target boundary includes biogenic emissions and removals from bioenergy feedstocks,,,
Royal Philips,['2025'],,,0,"Global health technology company Royal Philips commits to reduce absolute scope 1 and scope 2 GHG emissions 75% by 2025, and 90% by 2040, from a 2015 base-year",x,,
Royal Philips,['2025'],,,1," Royal Philips also commits to reduce absolute scope 3 GHG emissions 4% by 2025, and 11% by 2040, from a 2017 base-year",x,,
"Rubicon Technologies, LLC",['2030'],,,0,This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs),,,
